Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   2		 G 199		 BestInG    8182.192		 AvgOfG 5881308.325		 StDv 5879312.227		 95% ConfInt 5509467.9716253148.679
########
####
 R   3		 G   0		 BestInG    8137.855		 AvgOfG  5891103.13		 StDv 5889111.948		 95% ConfInt 5518642.9876263563.273
 R   3		 G   1		 BestInG    8137.855		 AvgOfG 5900897.935		 StDv 5898911.669		 95% ConfInt 5527818.0036273977.867
 R   3		 G   2		 BestInG    8137.855		 AvgOfG  5910692.74		 StDv  5908711.39		 95% ConfInt 5536993.019 6284392.46
 R   3		 G   3		 BestInG    8137.855		 AvgOfG 5920487.545		 StDv 5918511.111		 95% ConfInt 5546168.0356294807.054
 R   3		 G   4		 BestInG    8137.855		 AvgOfG  5930282.35		 StDv 5928310.832		 95% ConfInt 5555343.0516305221.648
 R   3		 G   5		 BestInG    8137.855		 AvgOfG 5940077.154		 StDv 5938110.553		 95% ConfInt 5564518.0686315636.241
 R   3		 G   6		 BestInG    8137.855		 AvgOfG 5949871.959		 StDv 5947910.274		 95% ConfInt 5573693.0846326050.835
 R   3		 G   7		 BestInG    8137.855		 AvgOfG 5959666.764		 StDv 5957709.995		 95% ConfInt   5582868.16336465.429
 R   3		 G   8		 BestInG    8137.855		 AvgOfG 5969461.569		 StDv 5967509.715		 95% ConfInt 5592043.1166346880.022
 R   3		 G   9		 BestInG    8137.855		 AvgOfG 5979256.374		 StDv 5977309.436		 95% ConfInt 5601218.1326357294.616
 R   3		 G  10		 BestInG    8137.855		 AvgOfG 5989051.179		 StDv 5987109.157		 95% ConfInt 5610393.148 6367709.21
 R   3		 G  11		 BestInG    8137.855		 AvgOfG 5998845.984		 StDv 5996908.877		 95% ConfInt 5619568.1646378123.803
 R   3		 G  12		 BestInG    8137.855		 AvgOfG 6008640.789		 StDv 6006708.598		 95% ConfInt 5628743.1816388538.397
 R   3		 G  13		 BestInG    8137.855		 AvgOfG 6018435.594		 StDv 6016508.318		 95% ConfInt 5637918.1976398952.991
 R   3		 G  14		 BestInG    8137.855		 AvgOfG 6028230.399		 StDv 6026308.039		 95% ConfInt 5647093.2136409367.584
 R   3		 G  15		 BestInG    8137.855		 AvgOfG 6038025.203		 StDv 6036107.759		 95% ConfInt 5656268.2296419782.178
 R   3		 G  16		 BestInG    8137.855		 AvgOfG 6047820.008		 StDv 6045907.479		 95% ConfInt 5665443.2456430196.771
 R   3		 G  17		 BestInG    8137.855		 AvgOfG 6057614.813		 StDv   6055707.2		 95% ConfInt 5674618.2616440611.365
 R   3		 G  18		 BestInG    8137.855		 AvgOfG 6067409.618		 StDv  6065506.92		 95% ConfInt 5683793.2786451025.959
 R   3		 G  19		 BestInG    8137.855		 AvgOfG 6077204.423		 StDv  6075306.64		 95% ConfInt 5692968.2946461440.552
 R   3		 G  20		 BestInG    8137.855		 AvgOfG 6086999.228		 StDv  6085106.36		 95% ConfInt  5702143.316471855.146
 R   3		 G  21		 BestInG    8137.855		 AvgOfG 6096794.033		 StDv  6094906.08		 95% ConfInt 5711318.326 6482269.74
 R   3		 G  22		 BestInG    8137.855		 AvgOfG 6106588.838		 StDv   6104705.8		 95% ConfInt 5720493.3426492684.333
 R   3		 G  23		 BestInG    8137.855		 AvgOfG 6116383.643		 StDv  6114505.52		 95% ConfInt 5729668.3586503098.927
 R   3		 G  24		 BestInG    8137.855		 AvgOfG 6126178.448		 StDv  6124305.24		 95% ConfInt 5738843.375 6513513.52
 R   3		 G  25		 BestInG    8137.855		 AvgOfG 6135973.252		 StDv  6134104.96		 95% ConfInt 5748018.3916523928.114
 R   3		 G  26		 BestInG    8137.855		 AvgOfG 6145768.057		 StDv  6143904.68		 95% ConfInt 5757193.4076534342.708
 R   3		 G  27		 BestInG    8137.855		 AvgOfG 6155562.862		 StDv   6153704.4		 95% ConfInt 5766368.4236544757.301
 R   3		 G  28		 BestInG    8137.855		 AvgOfG 6165357.667		 StDv  6163504.12		 95% ConfInt 5775543.4396555171.895
 R   3		 G  29		 BestInG    8137.855		 AvgOfG 6175152.472		 StDv 6173303.839		 95% ConfInt 5784718.4566565586.488
 R   3		 G  30		 BestInG    8137.855		 AvgOfG 6184947.277		 StDv 6183103.559		 95% ConfInt 5793893.4726576001.082
 R   3		 G  31		 BestInG    8137.855		 AvgOfG 6194742.082		 StDv 6192903.279		 95% ConfInt 5803068.4886586415.676
 R   3		 G  32		 BestInG    8137.855		 AvgOfG 6204536.887		 StDv 6202702.998		 95% ConfInt 5812243.5046596830.269
 R   3		 G  33		 BestInG    8137.855		 AvgOfG 6214331.692		 StDv 6212502.718		 95% ConfInt  5821418.526607244.863
 R   3		 G  34		 BestInG    8137.855		 AvgOfG 6224126.497		 StDv 6222302.437		 95% ConfInt 5830593.5376617659.456
 R   3		 G  35		 BestInG    8137.855		 AvgOfG 6233921.301		 StDv 6232102.157		 95% ConfInt 5839768.553 6628074.05
 R   3		 G  36		 BestInG    8137.855		 AvgOfG 6243716.106		 StDv 6241901.876		 95% ConfInt 5848943.5696638488.644
 R   3		 G  37		 BestInG    8137.855		 AvgOfG 6253510.911		 StDv 6251701.596		 95% ConfInt 5858118.5856648903.237
 R   3		 G  38		 BestInG    8137.855		 AvgOfG 6263305.716		 StDv 6261501.315		 95% ConfInt 5867293.6026659317.831
 R   3		 G  39		 BestInG    8137.855		 AvgOfG 6273100.521		 StDv 6271301.034		 95% ConfInt 5876468.6186669732.424
 R   3		 G  40		 BestInG    8137.855		 AvgOfG 6282895.326		 StDv 6281100.754		 95% ConfInt 5885643.6346680147.018
 R   3		 G  41		 BestInG    8137.855		 AvgOfG 6292690.131		 StDv 6290900.473		 95% ConfInt  5894818.656690561.611
 R   3		 G  42		 BestInG    8137.855		 AvgOfG 6302484.936		 StDv 6300700.192		 95% ConfInt 5903993.6666700976.205
 R   3		 G  43		 BestInG    8137.855		 AvgOfG 6312279.741		 StDv 6310499.911		 95% ConfInt 5913168.6836711390.798
 R   3		 G  44		 BestInG    8137.855		 AvgOfG 6322074.545		 StDv  6320299.63		 95% ConfInt 5922343.6996721805.392
 R   3		 G  45		 BestInG    8137.855		 AvgOfG  6331869.35		 StDv 6330099.349		 95% ConfInt 5931518.7156732219.986
 R   3		 G  46		 BestInG    8137.855		 AvgOfG 6341664.155		 StDv 6339899.068		 95% ConfInt 5940693.7316742634.579
 R   3		 G  47		 BestInG    8137.855		 AvgOfG  6351458.96		 StDv 6349698.787		 95% ConfInt 5949868.7486753049.173
 R   3		 G  48		 BestInG    8137.855		 AvgOfG 6361253.765		 StDv 6359498.506		 95% ConfInt 5959043.7646763463.766
 R   3		 G  49		 BestInG    8137.855		 AvgOfG  6371048.57		 StDv 6369298.225		 95% ConfInt  5968218.78 6773878.36
 R   3		 G  50		 BestInG    8137.855		 AvgOfG 6380843.375		 StDv 6379097.944		 95% ConfInt 5977393.7966784292.953
 R   3		 G  51		 BestInG    8137.855		 AvgOfG  6390638.18		 StDv 6388897.663		 95% ConfInt 5986568.8136794707.547
 R   3		 G  52		 BestInG    8137.855		 AvgOfG 6400432.985		 StDv 6398697.382		 95% ConfInt 5995743.829 6805122.14
 R   3		 G  53		 BestInG    8137.855		 AvgOfG  6410227.79		 StDv 6408497.101		 95% ConfInt 6004918.8456815536.734
 R   3		 G  54		 BestInG    8137.855		 AvgOfG 6420022.594		 StDv 6418296.819		 95% ConfInt 6014093.8626825951.327
 R   3		 G  55		 BestInG    8137.855		 AvgOfG 6429817.399		 StDv 6428096.538		 95% ConfInt 6023268.8786836365.921
 R   3		 G  56		 BestInG    8137.855		 AvgOfG 6439612.204		 StDv 6437896.257		 95% ConfInt 6032443.8946846780.514
 R   3		 G  57		 BestInG    8137.855		 AvgOfG 6449407.009		 StDv 6447695.975		 95% ConfInt  6041618.916857195.108
 R   3		 G  58		 BestInG    8137.855		 AvgOfG 6459201.814		 StDv 6457495.694		 95% ConfInt 6050793.9276867609.702
 R   3		 G  59		 BestInG    8137.855		 AvgOfG 6468996.619		 StDv 6467295.412		 95% ConfInt 6059968.9436878024.295
 R   3		 G  60		 BestInG    8137.855		 AvgOfG 6478791.424		 StDv 6477095.131		 95% ConfInt 6069143.9596888438.889
 R   3		 G  61		 BestInG    8137.855		 AvgOfG 6488586.229		 StDv 6486894.849		 95% ConfInt 6078318.9756898853.482
 R   3		 G  62		 BestInG    8137.855		 AvgOfG 6498381.034		 StDv 6496694.568		 95% ConfInt 6087493.9926909268.076
 R   3		 G  63		 BestInG    8137.855		 AvgOfG 6508175.839		 StDv 6506494.286		 95% ConfInt 6096669.0086919682.669
 R   3		 G  64		 BestInG    8137.855		 AvgOfG 6517970.643		 StDv 6516294.004		 95% ConfInt 6105844.0246930097.263
 R   3		 G  65		 BestInG    8137.855		 AvgOfG 6527765.448		 StDv 6526093.722		 95% ConfInt 6115019.0416940511.856
 R   3		 G  66		 BestInG    8137.855		 AvgOfG 6537560.253		 StDv 6535893.441		 95% ConfInt 6124194.057 6950926.45
 R   3		 G  67		 BestInG    8137.855		 AvgOfG 6547355.058		 StDv 6545693.159		 95% ConfInt 6133369.0736961341.043
 R   3		 G  68		 BestInG    8137.855		 AvgOfG 6557149.863		 StDv 6555492.877		 95% ConfInt  6142544.096971755.637
 R   3		 G  69		 BestInG    8137.855		 AvgOfG 6566944.668		 StDv 6565292.595		 95% ConfInt 6151719.106 6982170.23
 R   3		 G  70		 BestInG    8137.855		 AvgOfG 6576739.473		 StDv 6575092.313		 95% ConfInt 6160894.1226992584.824
 R   3		 G  71		 BestInG    8137.855		 AvgOfG 6586534.278		 StDv 6584892.031		 95% ConfInt 6170069.1387002999.417
 R   3		 G  72		 BestInG    8137.855		 AvgOfG 6596329.083		 StDv 6594691.749		 95% ConfInt 6179244.1557013414.011
 R   3		 G  73		 BestInG    8137.855		 AvgOfG 6606123.888		 StDv 6604491.467		 95% ConfInt 6188419.1717023828.604
 R   3		 G  74		 BestInG    8137.855		 AvgOfG 6615918.692		 StDv 6614291.185		 95% ConfInt 6197594.1877034243.198
 R   3		 G  75		 BestInG    8137.855		 AvgOfG 6625713.497		 StDv 6624090.903		 95% ConfInt 6206769.2047044657.791
 R   3		 G  76		 BestInG    8137.855		 AvgOfG 6635508.302		 StDv 6633890.621		 95% ConfInt  6215944.227055072.384
 R   3		 G  77		 BestInG    8137.855		 AvgOfG 6645303.107		 StDv 6643690.339		 95% ConfInt 6225119.2367065486.978
 R   3		 G  78		 BestInG    8137.855		 AvgOfG 6655097.912		 StDv 6653490.057		 95% ConfInt 6234294.2537075901.571
 R   3		 G  79		 BestInG    8137.855		 AvgOfG 6664892.717		 StDv 6663289.775		 95% ConfInt 6243469.2697086316.165
 R   3		 G  80		 BestInG    8137.855		 AvgOfG 6674687.522		 StDv 6673089.493		 95% ConfInt 6252644.2857096730.758
 R   3		 G  81		 BestInG    8137.855		 AvgOfG 6684482.327		 StDv  6682889.21		 95% ConfInt 6261819.3027107145.352
 R   3		 G  82		 BestInG    8137.855		 AvgOfG 6694277.132		 StDv 6692688.928		 95% ConfInt 6270994.3187117559.945
 R   3		 G  83		 BestInG    8137.855		 AvgOfG 6704071.937		 StDv 6702488.646		 95% ConfInt 6280169.3347127974.539
 R   3		 G  84		 BestInG    8137.855		 AvgOfG 6713866.741		 StDv 6712288.363		 95% ConfInt 6289344.3517138389.132
 R   3		 G  85		 BestInG    8137.855		 AvgOfG 6723661.546		 StDv 6722088.081		 95% ConfInt 6298519.3677148803.726
 R   3		 G  86		 BestInG    8137.855		 AvgOfG 6733456.351		 StDv 6731887.798		 95% ConfInt 6307694.3837159218.319
 R   3		 G  87		 BestInG    8137.855		 AvgOfG 6743251.156		 StDv 6741687.516		 95% ConfInt   6316869.47169632.913
 R   3		 G  88		 BestInG    8137.855		 AvgOfG 6753045.961		 StDv 6751487.233		 95% ConfInt 6326044.4167180047.506
 R   3		 G  89		 BestInG    8137.855		 AvgOfG 6762840.766		 StDv 6761286.951		 95% ConfInt 6335219.4327190462.099
 R   3		 G  90		 BestInG    8137.855		 AvgOfG 6772635.571		 StDv 6771086.668		 95% ConfInt 6344394.4497200876.693
 R   3		 G  91		 BestInG    8137.855		 AvgOfG 6782430.376		 StDv 6780886.386		 95% ConfInt 6353569.4657211291.286
 R   3		 G  92		 BestInG    8137.855		 AvgOfG 6792225.181		 StDv 6790686.103		 95% ConfInt 6362744.481 7221705.88
 R   3		 G  93		 BestInG    8137.855		 AvgOfG 6802019.986		 StDv  6800485.82		 95% ConfInt 6371919.4987232120.473
 R   3		 G  94		 BestInG    8137.855		 AvgOfG  6811814.79		 StDv 6810285.537		 95% ConfInt 6381094.5147242535.067
 R   3		 G  95		 BestInG    8137.855		 AvgOfG 6821609.595		 StDv 6820085.255		 95% ConfInt  6390269.53 7252949.66
 R   3		 G  96		 BestInG    8137.855		 AvgOfG   6831404.4		 StDv 6829884.972		 95% ConfInt 6399444.5477263364.254
 R   3		 G  97		 BestInG    8137.855		 AvgOfG 6841199.205		 StDv 6839684.689		 95% ConfInt 6408619.5637273778.847
 R   3		 G  98		 BestInG    8137.855		 AvgOfG  6850994.01		 StDv 6849484.406		 95% ConfInt  6417794.58 7284193.44
 R   3		 G  99		 BestInG    8137.855		 AvgOfG 6860788.815		 StDv 6859284.123		 95% ConfInt 6426969.5967294608.034
 R   3		 G 100		 BestInG    8137.855		 AvgOfG  6870583.62		 StDv 6869083.841		 95% ConfInt 6436144.6127305022.627
 R   3		 G 101		 BestInG    8137.855		 AvgOfG 6880378.425		 StDv 6878883.558		 95% ConfInt 6445319.6297315437.221
 R   3		 G 102		 BestInG    8137.855		 AvgOfG  6890173.23		 StDv 6888683.275		 95% ConfInt 6454494.6457325851.814
 R   3		 G 103		 BestInG    8137.855		 AvgOfG 6899968.034		 StDv 6898482.992		 95% ConfInt 6463669.6617336266.408
 R   3		 G 104		 BestInG    8137.855		 AvgOfG 6909762.839		 StDv 6908282.709		 95% ConfInt 6472844.6787346681.001
 R   3		 G 105		 BestInG    8137.855		 AvgOfG 6919557.644		 StDv 6918082.425		 95% ConfInt 6482019.6947357095.594
 R   3		 G 106		 BestInG    8137.855		 AvgOfG 6929352.449		 StDv 6927882.142		 95% ConfInt 6491194.7117367510.188
 R   3		 G 107		 BestInG    8137.855		 AvgOfG 6939147.254		 StDv 6937681.859		 95% ConfInt 6500369.7277377924.781
 R   3		 G 108		 BestInG    8137.855		 AvgOfG 6948942.059		 StDv 6947481.576		 95% ConfInt 6509544.7437388339.375
 R   3		 G 109		 BestInG    8137.855		 AvgOfG 6958736.864		 StDv 6957281.293		 95% ConfInt  6518719.767398753.968
 R   3		 G 110		 BestInG    8137.855		 AvgOfG 6968531.669		 StDv  6967081.01		 95% ConfInt 6527894.7767409168.561
 R   3		 G 111		 BestInG    8137.855		 AvgOfG 6978326.474		 StDv 6976880.726		 95% ConfInt 6537069.7927419583.155
 R   3		 G 112		 BestInG    8137.855		 AvgOfG 6988121.279		 StDv 6986680.443		 95% ConfInt 6546244.8097429997.748
 R   3		 G 113		 BestInG    8137.855		 AvgOfG 6997916.083		 StDv  6996480.16		 95% ConfInt 6555419.8257440412.342
 R   3		 G 114		 BestInG    8137.855		 AvgOfG 7007710.888		 StDv 7006279.877		 95% ConfInt 6564594.8427450826.935
 R   3		 G 115		 BestInG    8137.855		 AvgOfG 7017505.693		 StDv 7016079.593		 95% ConfInt 6573769.8587461241.528
 R   3		 G 116		 BestInG    8137.855		 AvgOfG 7027300.498		 StDv  7025879.31		 95% ConfInt 6582944.8747471656.122
 R   3		 G 117		 BestInG    8137.855		 AvgOfG 7037095.303		 StDv 7035679.026		 95% ConfInt 6592119.8917482070.715
 R   3		 G 118		 BestInG    8137.855		 AvgOfG 7046890.108		 StDv 7045478.743		 95% ConfInt 6601294.9077492485.309
 R   3		 G 119		 BestInG    8137.855		 AvgOfG 7056684.913		 StDv 7055278.459		 95% ConfInt 6610469.9247502899.902
 R   3		 G 120		 BestInG    8137.855		 AvgOfG 7066479.718		 StDv 7065078.176		 95% ConfInt  6619644.947513314.495
 R   3		 G 121		 BestInG    8137.855		 AvgOfG 7076274.523		 StDv 7074877.892		 95% ConfInt 6628819.9577523729.089
 R   3		 G 122		 BestInG    8137.855		 AvgOfG 7086069.328		 StDv 7084677.609		 95% ConfInt 6637994.9737534143.682
 R   3		 G 123		 BestInG    8137.855		 AvgOfG 7095864.132		 StDv 7094477.325		 95% ConfInt 6647169.9897544558.276
 R   3		 G 124		 BestInG    8137.855		 AvgOfG 7105658.937		 StDv 7104277.041		 95% ConfInt 6656345.0067554972.869
 R   3		 G 125		 BestInG    8137.855		 AvgOfG 7115453.742		 StDv 7114076.758		 95% ConfInt 6665520.0227565387.462
 R   3		 G 126		 BestInG    8137.855		 AvgOfG 7125248.547		 StDv 7123876.474		 95% ConfInt 6674695.0397575802.056
 R   3		 G 127		 BestInG    8137.855		 AvgOfG 7135043.352		 StDv  7133676.19		 95% ConfInt 6683870.0557586216.649
 R   3		 G 128		 BestInG    8137.855		 AvgOfG 7144838.157		 StDv 7143475.907		 95% ConfInt 6693045.0717596631.242
 R   3		 G 129		 BestInG    8137.855		 AvgOfG 7154632.962		 StDv 7153275.623		 95% ConfInt 6702220.0887607045.836
 R   3		 G 130		 BestInG    8137.855		 AvgOfG 7164427.767		 StDv 7163075.339		 95% ConfInt 6711395.1047617460.429
 R   3		 G 131		 BestInG    8137.855		 AvgOfG 7174222.572		 StDv 7172875.055		 95% ConfInt 6720570.1217627875.023
 R   3		 G 132		 BestInG    8137.855		 AvgOfG 7184017.377		 StDv 7182674.771		 95% ConfInt 6729745.1377638289.616
 R   3		 G 133		 BestInG    8137.855		 AvgOfG 7193812.181		 StDv 7192474.488		 95% ConfInt 6738920.1547648704.209
 R   3		 G 134		 BestInG    8137.855		 AvgOfG 7203606.986		 StDv 7202274.204		 95% ConfInt  6748095.177659118.803
 R   3		 G 135		 BestInG    8137.855		 AvgOfG 7213401.791		 StDv  7212073.92		 95% ConfInt 6757270.1867669533.396
 R   3		 G 136		 BestInG    8137.855		 AvgOfG 7223196.596		 StDv 7221873.636		 95% ConfInt 6766445.2037679947.989
 R   3		 G 137		 BestInG    8137.855		 AvgOfG 7232991.401		 StDv 7231673.352		 95% ConfInt 6775620.2197690362.583
 R   3		 G 138		 BestInG    8137.855		 AvgOfG 7242786.206		 StDv 7241473.068		 95% ConfInt 6784795.2367700777.176
 R   3		 G 139		 BestInG    8137.855		 AvgOfG 7252581.011		 StDv 7251272.784		 95% ConfInt 6793970.2527711191.769
 R   3		 G 140		 BestInG    8137.855		 AvgOfG 7262375.816		 StDv   7261072.5		 95% ConfInt 6803145.2697721606.363
 R   3		 G 141		 BestInG    8137.855		 AvgOfG 7272170.621		 StDv 7270872.215		 95% ConfInt 6812320.2857732020.956
 R   3		 G 142		 BestInG    8137.855		 AvgOfG 7281965.426		 StDv 7280671.931		 95% ConfInt 6821495.3027742435.549
 R   3		 G 143		 BestInG    8137.855		 AvgOfG  7291760.23		 StDv 7290471.647		 95% ConfInt 6830670.3187752850.143
 R   3		 G 144		 BestInG    8137.855		 AvgOfG 7301555.035		 StDv 7300271.363		 95% ConfInt 6839845.3347763264.736
 R   3		 G 145		 BestInG    8137.855		 AvgOfG  7311349.84		 StDv 7310071.079		 95% ConfInt 6849020.351 7773679.33
 R   3		 G 146		 BestInG    8137.855		 AvgOfG 7321144.645		 StDv 7319870.795		 95% ConfInt 6858195.3677784093.923
 R   3		 G 147		 BestInG    8137.855		 AvgOfG  7330939.45		 StDv  7329670.51		 95% ConfInt 6867370.3847794508.516
 R   3		 G 148		 BestInG    8137.855		 AvgOfG 7340734.255		 StDv 7339470.226		 95% ConfInt   6876545.4 7804923.11
 R   3		 G 149		 BestInG    8137.855		 AvgOfG  7350529.06		 StDv 7349269.942		 95% ConfInt 6885720.4177815337.703
 R   3		 G 150		 BestInG    8137.855		 AvgOfG 7360323.865		 StDv 7359069.657		 95% ConfInt 6894895.4337825752.296
 R   3		 G 151		 BestInG    8137.855		 AvgOfG  7370118.67		 StDv 7368869.373		 95% ConfInt  6904070.45 7836166.89
 R   3		 G 152		 BestInG    8137.855		 AvgOfG 7379913.474		 StDv 7378669.089		 95% ConfInt 6913245.4667846581.483
 R   3		 G 153		 BestInG    8137.855		 AvgOfG 7389708.279		 StDv 7388468.804		 95% ConfInt 6922420.4837856996.076
 R   3		 G 154		 BestInG    8137.855		 AvgOfG 7399503.084		 StDv  7398268.52		 95% ConfInt 6931595.499 7867410.67
 R   3		 G 155		 BestInG    8137.855		 AvgOfG 7409297.889		 StDv 7408068.235		 95% ConfInt 6940770.5157877825.263
 R   3		 G 156		 BestInG    8137.855		 AvgOfG 7419092.694		 StDv 7417867.951		 95% ConfInt 6949945.5327888239.856
 R   3		 G 157		 BestInG    8137.855		 AvgOfG 7428887.499		 StDv 7427667.666		 95% ConfInt 6959120.548 7898654.45
 R   3		 G 158		 BestInG    8137.855		 AvgOfG 7438682.304		 StDv 7437467.382		 95% ConfInt 6968295.5657909069.043
 R   3		 G 159		 BestInG    8137.855		 AvgOfG 7448477.109		 StDv 7447267.097		 95% ConfInt 6977470.5817919483.636
 R   3		 G 160		 BestInG    8137.855		 AvgOfG 7458271.914		 StDv 7457066.812		 95% ConfInt 6986645.598 7929898.23
 R   3		 G 161		 BestInG    8137.855		 AvgOfG 7468066.719		 StDv 7466866.528		 95% ConfInt 6995820.6147940312.823
 R   3		 G 162		 BestInG    8137.855		 AvgOfG 7477861.523		 StDv 7476666.243		 95% ConfInt 7004995.6317950727.416
 R   3		 G 163		 BestInG    8137.855		 AvgOfG 7487656.328		 StDv 7486465.959		 95% ConfInt 7014170.6477961142.009
 R   3		 G 164		 BestInG    8137.855		 AvgOfG 7497451.133		 StDv 7496265.674		 95% ConfInt 7023345.6647971556.603
 R   3		 G 165		 BestInG    8137.855		 AvgOfG 7507245.938		 StDv 7506065.389		 95% ConfInt  7032520.687981971.196
 R   3		 G 166		 BestInG    8137.855		 AvgOfG 7517040.743		 StDv 7515865.104		 95% ConfInt 7041695.6977992385.789
 R   3		 G 167		 BestInG    8137.855		 AvgOfG 7526835.548		 StDv  7525664.82		 95% ConfInt 7050870.7138002800.383
 R   3		 G 168		 BestInG    8137.855		 AvgOfG 7536630.353		 StDv 7535464.535		 95% ConfInt  7060045.738013214.976
 R   3		 G 169		 BestInG    8137.855		 AvgOfG 7546425.158		 StDv  7545264.25		 95% ConfInt 7069220.7468023629.569
 R   3		 G 170		 BestInG    8137.855		 AvgOfG 7556219.963		 StDv 7555063.965		 95% ConfInt 7078395.7638034044.163
 R   3		 G 171		 BestInG    8137.855		 AvgOfG 7566014.768		 StDv  7564863.68		 95% ConfInt 7087570.7798044458.756
 R   3		 G 172		 BestInG    8137.855		 AvgOfG 7575809.572		 StDv 7574663.395		 95% ConfInt 7096745.7968054873.349
 R   3		 G 173		 BestInG    8137.855		 AvgOfG 7585604.377		 StDv 7584463.111		 95% ConfInt 7105920.8128065287.943
 R   3		 G 174		 BestInG    8137.855		 AvgOfG 7595399.182		 StDv 7594262.826		 95% ConfInt 7115095.8298075702.536
 R   3		 G 175		 BestInG    8137.855		 AvgOfG 7605193.987		 StDv 7604062.541		 95% ConfInt 7124270.8458086117.129
 R   3		 G 176		 BestInG    8137.855		 AvgOfG 7614988.792		 StDv 7613862.256		 95% ConfInt 7133445.8628096531.722
 R   3		 G 177		 BestInG    8137.855		 AvgOfG 7624783.597		 StDv 7623661.971		 95% ConfInt 7142620.8788106946.316
 R   3		 G 178		 BestInG    8137.855		 AvgOfG 7634578.402		 StDv 7633461.686		 95% ConfInt 7151795.8958117360.909
 R   3		 G 179		 BestInG    8137.855		 AvgOfG 7644373.207		 StDv 7643261.401		 95% ConfInt 7160970.9118127775.502
 R   3		 G 180		 BestInG    8137.855		 AvgOfG 7654168.012		 StDv 7653061.116		 95% ConfInt 7170145.9288138190.096
 R   3		 G 181		 BestInG    8137.855		 AvgOfG 7663962.817		 StDv  7662860.83		 95% ConfInt 7179320.9448148604.689
 R   3		 G 182		 BestInG    8137.855		 AvgOfG 7673757.621		 StDv 7672660.545		 95% ConfInt 7188495.9618159019.282
 R   3		 G 183		 BestInG    8137.855		 AvgOfG 7683552.426		 StDv  7682460.26		 95% ConfInt 7197670.9778169433.875
 R   3		 G 184		 BestInG    8137.855		 AvgOfG 7693347.231		 StDv 7692259.975		 95% ConfInt 7206845.9948179848.469
 R   3		 G 185		 BestInG    8137.855		 AvgOfG 7703142.036		 StDv  7702059.69		 95% ConfInt  7216021.018190263.062
 R   3		 G 186		 BestInG    8137.855		 AvgOfG 7712936.841		 StDv 7711859.405		 95% ConfInt 7225196.0278200677.655
 R   3		 G 187		 BestInG    8137.855		 AvgOfG 7722731.646		 StDv 7721659.119		 95% ConfInt 7234371.0438211092.249
 R   3		 G 188		 BestInG    8137.855		 AvgOfG 7732526.451		 StDv 7731458.834		 95% ConfInt  7243546.068221506.842
 R   3		 G 189		 BestInG    8137.855		 AvgOfG 7742321.256		 StDv 7741258.549		 95% ConfInt 7252721.0768231921.435
 R   3		 G 190		 BestInG    8137.855		 AvgOfG 7752116.061		 StDv 7751058.264		 95% ConfInt 7261896.0938242336.028
 R   3		 G 191		 BestInG    8137.855		 AvgOfG 7761910.866		 StDv 7760857.978		 95% ConfInt 7271071.1098252750.622
 R   3		 G 192		 BestInG    8137.855		 AvgOfG  7771705.67		 StDv 7770657.693		 95% ConfInt 7280246.1268263165.215
 R   3		 G 193		 BestInG    8137.855		 AvgOfG 7781500.475		 StDv 7780457.408		 95% ConfInt 7289421.1428273579.808
 R   3		 G 194		 BestInG    8137.855		 AvgOfG  7791295.28		 StDv 7790257.122		 95% ConfInt 7298596.1598283994.401
 R   3		 G 195		 BestInG    8137.855		 AvgOfG 7801090.085		 StDv 7800056.837		 95% ConfInt 7307771.1758294408.995
 R   3		 G 196		 BestInG    8137.855		 AvgOfG  7810884.89		 StDv 7809856.551		 95% ConfInt 7316946.1928304823.588
 R   3		 G 197		 BestInG    8137.855		 AvgOfG 7820679.695		 StDv 7819656.266		 95% ConfInt 7326121.2098315238.181
 R   3		 G 198		 BestInG    8137.855		 AvgOfG   7830474.5		 StDv  7829455.98		 95% ConfInt 7335296.2258325652.775
 R   3		 G 199		 BestInG    8137.855		 AvgOfG 7840269.305		 StDv 7839255.695		 95% ConfInt 7344471.2428336067.368
########
####
 R   4		 G   0		 BestInG    8182.192		 AvgOfG 7850095.754		 StDv 7849087.045		 95% ConfInt 7353675.9018346515.606
 R   4		 G   1		 BestInG    8182.192		 AvgOfG 7859922.203		 StDv 7858918.395		 95% ConfInt 7362880.5618356963.844
 R   4		 G   2		 BestInG    8182.192		 AvgOfG 7869748.652		 StDv 7868749.745		 95% ConfInt 7372085.2218367412.083
 R   4		 G   3		 BestInG    8182.192		 AvgOfG 7879575.101		 StDv 7878581.095		 95% ConfInt 7381289.8818377860.321
 R   4		 G   4		 BestInG    8182.192		 AvgOfG  7889401.55		 StDv 7888412.445		 95% ConfInt 7390494.5418388308.559
 R   4		 G   5		 BestInG    8182.192		 AvgOfG 7899227.999		 StDv 7898243.796		 95% ConfInt 7399699.2018398756.797
