Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G 121		 BestInG    8060.314		 AvgOfG 1190923.528		 StDv 1186593.832		 95% ConfInt 1115876.7451265970.311
 R   0		 G 122		 BestInG    8060.314		 AvgOfG 1200685.196		 StDv 1196360.468		 95% ConfInt 1125020.7171276349.676
 R   0		 G 123		 BestInG    8060.314		 AvgOfG 1210446.865		 StDv 1206127.102		 95% ConfInt 1134164.689 1286729.04
 R   0		 G 124		 BestInG    8060.314		 AvgOfG 1220208.533		 StDv 1215893.735		 95% ConfInt 1143308.6611297108.405
 R   0		 G 125		 BestInG    8060.314		 AvgOfG 1229970.201		 StDv 1225660.367		 95% ConfInt 1152452.6331307487.769
 R   0		 G 126		 BestInG    8060.314		 AvgOfG 1239731.869		 StDv 1235426.998		 95% ConfInt 1161596.6051317867.133
 R   0		 G 127		 BestInG    8060.314		 AvgOfG 1249493.538		 StDv 1245193.628		 95% ConfInt 1170740.5781328246.498
 R   0		 G 128		 BestInG    8060.314		 AvgOfG 1259255.206		 StDv 1254960.256		 95% ConfInt  1179884.551338625.862
 R   0		 G 129		 BestInG    8060.314		 AvgOfG 1269016.874		 StDv 1264726.883		 95% ConfInt 1189028.5231349005.226
 R   0		 G 130		 BestInG    8060.314		 AvgOfG 1278778.542		 StDv 1274493.509		 95% ConfInt 1198172.495 1359384.59
 R   0		 G 131		 BestInG    8060.314		 AvgOfG 1288540.211		 StDv 1284260.134		 95% ConfInt 1207316.4681369763.953
